redemption_id,resident_id,redeemed_date,merchant,merchant_category,voucher_value_sgd,healthpoints_spent
EV001323,RESIDENT_00778,2026-06-27,Kopitiam,Food & Beverage,15,1500
EV001169,RESIDENT_00688,2026-06-06,NTUC FairPrice,Groceries,10,1000
EV002231,RESIDENT_01286,2026-05-04,NTUC FairPrice,Groceries,5,500
EV001899,RESIDENT_01101,2026-06-26,Guardian,Health & Beauty,10,1000
EV000200,RESIDENT_00113,2026-06-09,Kopitiam,Food & Beverage,2,200
EV000121,RESIDENT_00071,2026-04-07,Watsons,Health & Beauty,2,200
EV000239,RESIDENT_00139,2026-06-07,Kopitiam,Food & Beverage,10,1000
EV001288,RESIDENT_00757,2026-06-13,Kopitiam,Food & Beverage,5,500
EV002560,RESIDENT_01497,2026-06-19,Sheng Siong,Groceries,5,500
EV001606,RESIDENT_00928,2026-06-24,Cold Storage,Groceries,5,500
EV001892,RESIDENT_01095,2026-04-14,Guardian,Health & Beauty,5,500
EV000599,RESIDENT_00355,2026-06-24,NTUC FairPrice,Groceries,2,200
EV000792,RESIDENT_00463,2026-04-24,Watsons,Health & Beauty,2,200
EV001851,RESIDENT_01065,2026-04-09,Decathlon,Sports,10,1000
EV000390,RESIDENT_00232,2026-04-17,Cold Storage,Groceries,5,500
EV001816,RESIDENT_01046,2026-04-26,Decathlon,Sports,5,500
EV002436,RESIDENT_01409,2026-04-29,Kopitiam,Food & Beverage,15,1500
EV001489,RESIDENT_00866,2026-05-09,Guardian,Health & Beauty,5,500
EV001039,RESIDENT_00614,2026-04-17,Watsons,Health & Beauty,10,1000
EV000086,RESIDENT_00047,2026-06-07,Kopitiam,Food & Beverage,5,500
EV002225,RESIDENT_01283,2026-04-07,Cold Storage,Groceries,10,1000
EV000497,RESIDENT_00290,2026-05-16,NTUC FairPrice,Groceries,5,500
EV000215,RESIDENT_00126,2026-06-05,Watsons,Health & Beauty,15,1500
EV000543,RESIDENT_00316,2026-06-27,Sheng Siong,Groceries,5,500
EV002320,RESIDENT_01333,2026-04-25,NTUC FairPrice,Groceries,15,1500
EV000250,RESIDENT_00146,2026-05-04,Kopitiam,Food & Beverage,2,200
EV001758,RESIDENT_01010,2026-06-26,Sheng Siong,Groceries,5,500
EV000041,RESIDENT_00021,2026-06-02,Watsons,Health & Beauty,10,1000
EV000493,RESIDENT_00289,2026-05-26,Decathlon,Sports,2,200
EV001648,RESIDENT_00945,2026-04-14,Guardian,Health & Beauty,5,500
EV001334,RESIDENT_00783,2026-05-20,Decathlon,Sports,5,500
EV001357,RESIDENT_00795,2026-04-05,NTUC FairPrice,Groceries,5,500
EV001236,RESIDENT_00730,2026-05-21,Kopitiam,Food & Beverage,5,500
EV002248,RESIDENT_01293,2026-06-30,NTUC FairPrice,Groceries,10,1000
EV000711,RESIDENT_00420,2026-05-30,Cold Storage,Groceries,10,1000
EV001796,RESIDENT_01033,2026-04-23,Cold Storage,Groceries,2,200
EV001086,RESIDENT_00643,2026-06-26,Kopitiam,Food & Beverage,10,1000
EV002438,RESIDENT_01413,2026-06-22,Decathlon,Sports,2,200
EV000464,RESIDENT_00274,2026-06-29,Watsons,Health & Beauty,10,1000
EV002246,RESIDENT_01292,2026-05-16,NTUC FairPrice,Groceries,2,200
EV000295,RESIDENT_00168,2026-05-10,NTUC FairPrice,Groceries,5,500
EV002005,RESIDENT_01157,2026-06-04,Guardian,Health & Beauty,10,1000
EV001257,RESIDENT_00743,2026-04-04,Watsons,Health & Beauty,10,1000
EV001900,RESIDENT_01102,2026-04-10,Sheng Siong,Groceries,5,500
EV000103,RESIDENT_00060,2026-06-16,NTUC FairPrice,Groceries,5,500
EV001498,RESIDENT_00870,2026-06-21,Guardian,Health & Beauty,10,1000
EV002088,RESIDENT_01205,2026-06-24,Kopitiam,Food & Beverage,10,1000
EV000043,RESIDENT_00022,2026-06-18,Decathlon,Sports,15,1500
EV001652,RESIDENT_00947,2026-05-20,Cold Storage,Groceries,15,1500
EV000912,RESIDENT_00539,2026-06-20,Sheng Siong,Groceries,15,1500
EV001910,RESIDENT_01108,2026-05-23,Decathlon,Sports,10,1000
EV001168,RESIDENT_00688,2026-05-30,Guardian,Health & Beauty,15,1500
EV000317,RESIDENT_00185,2026-04-07,Cold Storage,Groceries,2,200
EV000878,RESIDENT_00522,2026-05-09,Cold Storage,Groceries,10,1000
EV000643,RESIDENT_00379,2026-04-25,Guardian,Health & Beauty,5,500
EV000319,RESIDENT_00187,2026-04-07,Cold Storage,Groceries,10,1000
EV000676,RESIDENT_00398,2026-04-24,Cold Storage,Groceries,10,1000
EV002552,RESIDENT_01491,2026-06-18,Guardian,Health & Beauty,5,500
EV002182,RESIDENT_01260,2026-04-21,Watsons,Health & Beauty,10,1000
EV002447,RESIDENT_01417,2026-06-12,Kopitiam,Food & Beverage,5,500
EV001074,RESIDENT_00636,2026-04-24,Kopitiam,Food & Beverage,10,1000
EV001337,RESIDENT_00786,2026-04-21,Kopitiam,Food & Beverage,2,200
EV000640,RESIDENT_00378,2026-06-28,Guardian,Health & Beauty,5,500
EV001159,RESIDENT_00685,2026-06-02,Kopitiam,Food & Beverage,15,1500
EV001030,RESIDENT_00606,2026-06-27,Cold Storage,Groceries,5,500
EV002368,RESIDENT_01368,2026-05-21,Kopitiam,Food & Beverage,2,200
EV001699,RESIDENT_00970,2026-06-19,Watsons,Health & Beauty,5,500
EV000167,RESIDENT_00094,2026-04-08,Guardian,Health & Beauty,2,200
EV002216,RESIDENT_01276,2026-06-08,NTUC FairPrice,Groceries,2,200
EV001928,RESIDENT_01119,2026-05-13,Guardian,Health & Beauty,10,1000
EV002555,RESIDENT_01494,2026-06-16,Sheng Siong,Groceries,15,1500
EV001081,RESIDENT_00641,2026-06-04,Decathlon,Sports,5,500
EV001908,RESIDENT_01107,2026-06-24,Decathlon,Sports,5,500
EV000753,RESIDENT_00443,2026-04-15,NTUC FairPrice,Groceries,10,1000
EV000174,RESIDENT_00100,2026-04-02,Kopitiam,Food & Beverage,10,1000
EV001622,RESIDENT_00935,2026-06-08,Sheng Siong,Groceries,10,1000
EV000788,RESIDENT_00460,2026-05-23,Watsons,Health & Beauty,2,200
EV000889,RESIDENT_00526,2026-05-03,Guardian,Health & Beauty,5,500
EV001410,RESIDENT_00819,2026-06-06,NTUC FairPrice,Groceries,15,1500
EV001181,RESIDENT_00699,2026-05-30,Cold Storage,Groceries,10,1000
EV001825,RESIDENT_01049,2026-06-20,NTUC FairPrice,Groceries,10,1000
EV000141,RESIDENT_00082,2026-05-04,Watsons,Health & Beauty,10,1000
EV001333,RESIDENT_00782,2026-04-27,Sheng Siong,Groceries,2,200
EV002164,RESIDENT_01254,2026-05-05,Watsons,Health & Beauty,15,1500
EV000021,RESIDENT_00013,2026-05-07,Watsons,Health & Beauty,15,1500
EV000577,RESIDENT_00338,2026-04-04,NTUC FairPrice,Groceries,10,1000
EV001643,RESIDENT_00942,2026-05-12,Guardian,Health & Beauty,2,200
EV002477,RESIDENT_01440,2026-06-26,Decathlon,Sports,10,1000
EV001379,RESIDENT_00804,2026-06-15,Watsons,Health & Beauty,10,1000
EV001170,RESIDENT_00692,2026-04-25,Guardian,Health & Beauty,2,200
EV000371,RESIDENT_00215,2026-04-16,Watsons,Health & Beauty,10,1000
EV000436,RESIDENT_00257,2026-04-29,Kopitiam,Food & Beverage,15,1500
EV002281,RESIDENT_01312,2026-04-24,NTUC FairPrice,Groceries,5,500
EV001653,RESIDENT_00948,2026-04-13,NTUC FairPrice,Groceries,15,1500
EV000552,RESIDENT_00322,2026-04-08,NTUC FairPrice,Groceries,5,500
EV001617,RESIDENT_00933,2026-06-14,Cold Storage,Groceries,5,500
EV001231,RESIDENT_00726,2026-04-29,Guardian,Health & Beauty,5,500
EV000915,RESIDENT_00541,2026-05-27,Kopitiam,Food & Beverage,5,500
EV002463,RESIDENT_01427,2026-05-16,Watsons,Health & Beauty,15,1500
EV000137,RESIDENT_00081,2026-04-10,Watsons,Health & Beauty,10,1000
EV000076,RESIDENT_00043,2026-05-02,NTUC FairPrice,Groceries,10,1000
EV000546,RESIDENT_00320,2026-04-17,Guardian,Health & Beauty,15,1500
EV002210,RESIDENT_01272,2026-04-09,Kopitiam,Food & Beverage,10,1000
EV000832,RESIDENT_00485,2026-04-05,Kopitiam,Food & Beverage,2,200
EV000453,RESIDENT_00267,2026-05-18,Decathlon,Sports,10,1000
EV002012,RESIDENT_01160,2026-06-03,Kopitiam,Food & Beverage,2,200
EV001978,RESIDENT_01146,2026-04-28,Decathlon,Sports,15,1500
EV000236,RESIDENT_00139,2026-04-05,Cold Storage,Groceries,5,500
EV001305,RESIDENT_00770,2026-05-19,Cold Storage,Groceries,5,500
EV001989,RESIDENT_01150,2026-04-19,Sheng Siong,Groceries,10,1000
EV001946,RESIDENT_01130,2026-05-19,Guardian,Health & Beauty,5,500
EV001680,RESIDENT_00961,2026-04-03,Decathlon,Sports,15,1500
EV001735,RESIDENT_00990,2026-06-24,Cold Storage,Groceries,2,200
EV001429,RESIDENT_00831,2026-05-19,Cold Storage,Groceries,2,200
EV002324,RESIDENT_01336,2026-04-15,NTUC FairPrice,Groceries,5,500
EV001049,RESIDENT_00621,2026-04-23,Kopitiam,Food & Beverage,10,1000
EV002271,RESIDENT_01307,2026-05-11,Cold Storage,Groceries,2,200
EV000513,RESIDENT_00303,2026-05-15,Sheng Siong,Groceries,5,500
EV000861,RESIDENT_00509,2026-04-13,Decathlon,Sports,5,500
EV000426,RESIDENT_00253,2026-05-19,Cold Storage,Groceries,5,500
EV002362,RESIDENT_01365,2026-05-01,Cold Storage,Groceries,2,200
EV000771,RESIDENT_00450,2026-06-13,Cold Storage,Groceries,2,200
EV001983,RESIDENT_01149,2026-05-16,Decathlon,Sports,5,500
EV002474,RESIDENT_01438,2026-06-29,Decathlon,Sports,5,500
EV000520,RESIDENT_00305,2026-04-07,NTUC FairPrice,Groceries,15,1500
EV002066,RESIDENT_01194,2026-04-08,Kopitiam,Food & Beverage,5,500
EV001516,RESIDENT_00877,2026-04-29,Cold Storage,Groceries,10,1000
EV000334,RESIDENT_00197,2026-05-05,Watsons,Health & Beauty,10,1000
EV000307,RESIDENT_00177,2026-06-08,Cold Storage,Groceries,5,500
EV000630,RESIDENT_00371,2026-05-13,Sheng Siong,Groceries,10,1000
EV001025,RESIDENT_00603,2026-04-04,Decathlon,Sports,2,200
EV000671,RESIDENT_00397,2026-05-19,Cold Storage,Groceries,5,500
EV000316,RESIDENT_00183,2026-05-05,Guardian,Health & Beauty,10,1000
EV002220,RESIDENT_01281,2026-06-22,Sheng Siong,Groceries,10,1000
EV001763,RESIDENT_01014,2026-06-23,Sheng Siong,Groceries,10,1000
EV002001,RESIDENT_01155,2026-06-23,Guardian,Health & Beauty,10,1000
EV001949,RESIDENT_01131,2026-04-15,Watsons,Health & Beauty,5,500
EV002339,RESIDENT_01350,2026-05-17,Guardian,Health & Beauty,2,200
EV001638,RESIDENT_00939,2026-06-23,NTUC FairPrice,Groceries,15,1500
EV001112,RESIDENT_00659,2026-04-18,Guardian,Health & Beauty,15,1500
EV000760,RESIDENT_00445,2026-06-17,Cold Storage,Groceries,2,200
EV000369,RESIDENT_00213,2026-06-13,Sheng Siong,Groceries,10,1000
EV001192,RESIDENT_00704,2026-05-24,NTUC FairPrice,Groceries,15,1500
EV002272,RESIDENT_01307,2026-04-28,Guardian,Health & Beauty,10,1000
EV001293,RESIDENT_00760,2026-05-26,Cold Storage,Groceries,15,1500
EV001839,RESIDENT_01055,2026-04-28,Sheng Siong,Groceries,10,1000
EV002294,RESIDENT_01319,2026-05-25,Kopitiam,Food & Beverage,10,1000
EV001486,RESIDENT_00865,2026-05-13,Watsons,Health & Beauty,10,1000
EV000625,RESIDENT_00368,2026-06-13,Kopitiam,Food & Beverage,15,1500
EV000030,RESIDENT_00016,2026-05-15,NTUC FairPrice,Groceries,5,500
EV001701,RESIDENT_00971,2026-06-29,Guardian,Health & Beauty,10,1000
EV000795,RESIDENT_00464,2026-06-05,Decathlon,Sports,15,1500
EV001061,RESIDENT_00626,2026-04-18,Cold Storage,Groceries,5,500
EV000800,RESIDENT_00466,2026-04-07,Sheng Siong,Groceries,15,1500
EV001853,RESIDENT_01067,2026-05-17,Decathlon,Sports,15,1500
EV000172,RESIDENT_00099,2026-04-27,Sheng Siong,Groceries,5,500
EV000727,RESIDENT_00426,2026-06-07,Cold Storage,Groceries,5,500
EV002214,RESIDENT_01275,2026-06-20,Kopitiam,Food & Beverage,10,1000
EV001126,RESIDENT_00667,2026-05-18,NTUC FairPrice,Groceries,10,1000
EV001421,RESIDENT_00829,2026-04-24,Decathlon,Sports,10,1000
EV000665,RESIDENT_00391,2026-04-16,Sheng Siong,Groceries,5,500
EV000786,RESIDENT_00460,2026-04-04,Watsons,Health & Beauty,15,1500
EV000372,RESIDENT_00221,2026-06-30,Cold Storage,Groceries,5,500
EV000949,RESIDENT_00564,2026-06-13,Cold Storage,Groceries,5,500
EV001477,RESIDENT_00858,2026-04-13,Guardian,Health & Beauty,5,500
EV000679,RESIDENT_00402,2026-06-07,Sheng Siong,Groceries,15,1500
EV000194,RESIDENT_00109,2026-04-22,Guardian,Health & Beauty,5,500
EV000251,RESIDENT_00146,2026-05-13,Watsons,Health & Beauty,10,1000
EV001281,RESIDENT_00755,2026-06-20,NTUC FairPrice,Groceries,15,1500
EV001384,RESIDENT_00806,2026-04-03,NTUC FairPrice,Groceries,2,200
EV000532,RESIDENT_00310,2026-06-29,Kopitiam,Food & Beverage,2,200
EV000111,RESIDENT_00067,2026-05-08,Decathlon,Sports,10,1000
EV001508,RESIDENT_00876,2026-06-13,Decathlon,Sports,5,500
EV000286,RESIDENT_00163,2026-05-21,Decathlon,Sports,10,1000
EV001016,RESIDENT_00600,2026-05-28,NTUC FairPrice,Groceries,10,1000
EV001982,RESIDENT_01148,2026-04-25,Decathlon,Sports,15,1500
EV000774,RESIDENT_00453,2026-05-08,Guardian,Health & Beauty,5,500
EV001666,RESIDENT_00954,2026-04-01,Decathlon,Sports,5,500
EV002269,RESIDENT_01305,2026-04-28,Watsons,Health & Beauty,10,1000
EV001155,RESIDENT_00683,2026-05-10,NTUC FairPrice,Groceries,10,1000
EV002467,RESIDENT_01431,2026-05-24,Watsons,Health & Beauty,5,500
EV002538,RESIDENT_01483,2026-05-27,Kopitiam,Food & Beverage,10,1000
EV001495,RESIDENT_00869,2026-06-19,Guardian,Health & Beauty,15,1500
EV000616,RESIDENT_00365,2026-04-14,Guardian,Health & Beauty,5,500
EV000219,RESIDENT_00130,2026-04-04,Watsons,Health & Beauty,10,1000
EV000205,RESIDENT_00116,2026-06-01,Cold Storage,Groceries,10,1000
EV000574,RESIDENT_00337,2026-04-14,Cold Storage,Groceries,2,200
EV001017,RESIDENT_00601,2026-05-21,Sheng Siong,Groceries,5,500
EV000588,RESIDENT_00345,2026-05-21,Kopitiam,Food & Beverage,10,1000
EV000061,RESIDENT_00029,2026-06-13,Guardian,Health & Beauty,15,1500
EV000850,RESIDENT_00500,2026-04-16,Kopitiam,Food & Beverage,10,1000
EV001378,RESIDENT_00803,2026-04-30,NTUC FairPrice,Groceries,5,500
EV001659,RESIDENT_00951,2026-04-22,Sheng Siong,Groceries,5,500
EV000117,RESIDENT_00070,2026-06-25,Watsons,Health & Beauty,2,200
EV001439,RESIDENT_00836,2026-04-14,Cold Storage,Groceries,10,1000
EV000468,RESIDENT_00276,2026-05-07,Cold Storage,Groceries,10,1000
EV001266,RESIDENT_00748,2026-05-06,Sheng Siong,Groceries,15,1500
EV001827,RESIDENT_01049,2026-04-10,NTUC FairPrice,Groceries,2,200
EV001687,RESIDENT_00966,2026-05-09,Cold Storage,Groceries,5,500
EV002471,RESIDENT_01436,2026-06-13,Watsons,Health & Beauty,10,1000
EV000164,RESIDENT_00092,2026-04-12,Decathlon,Sports,15,1500
EV000647,RESIDENT_00381,2026-04-11,NTUC FairPrice,Groceries,10,1000
EV002276,RESIDENT_01309,2026-06-07,Decathlon,Sports,5,500
EV002455,RESIDENT_01422,2026-05-29,Guardian,Health & Beauty,10,1000
EV001102,RESIDENT_00654,2026-05-22,NTUC FairPrice,Groceries,15,1500
EV000718,RESIDENT_00422,2026-05-15,Cold Storage,Groceries,15,1500
EV002535,RESIDENT_01481,2026-05-05,Decathlon,Sports,10,1000
EV001855,RESIDENT_01069,2026-05-01,NTUC FairPrice,Groceries,10,1000
EV002047,RESIDENT_01184,2026-06-10,Guardian,Health & Beauty,5,500
EV001863,RESIDENT_01075,2026-05-20,Decathlon,Sports,5,500
EV000578,RESIDENT_00339,2026-05-26,Sheng Siong,Groceries,5,500
EV002400,RESIDENT_01387,2026-05-21,Watsons,Health & Beauty,5,500
EV000515,RESIDENT_00303,2026-04-02,Decathlon,Sports,5,500
EV000039,RESIDENT_00021,2026-06-28,Guardian,Health & Beauty,5,500
EV000884,RESIDENT_00525,2026-04-30,NTUC FairPrice,Groceries,10,1000
EV001632,RESIDENT_00938,2026-05-25,Cold Storage,Groceries,10,1000
EV002488,RESIDENT_01445,2026-05-17,Cold Storage,Groceries,15,1500
EV000551,RESIDENT_00322,2026-05-13,Sheng Siong,Groceries,10,1000
EV000582,RESIDENT_00341,2026-04-14,NTUC FairPrice,Groceries,15,1500
EV001072,RESIDENT_00634,2026-05-07,Decathlon,Sports,15,1500
EV000235,RESIDENT_00139,2026-04-12,NTUC FairPrice,Groceries,15,1500
EV000618,RESIDENT_00365,2026-06-14,Guardian,Health & Beauty,5,500
EV001044,RESIDENT_00617,2026-05-09,Watsons,Health & Beauty,15,1500
EV000684,RESIDENT_00407,2026-04-23,Cold Storage,Groceries,15,1500
EV001970,RESIDENT_01142,2026-05-23,Sheng Siong,Groceries,15,1500
EV000598,RESIDENT_00355,2026-06-03,Cold Storage,Groceries,10,1000
EV001904,RESIDENT_01105,2026-04-23,Cold Storage,Groceries,5,500
EV001472,RESIDENT_00853,2026-06-11,Watsons,Health & Beauty,15,1500
EV002105,RESIDENT_01217,2026-05-22,Guardian,Health & Beauty,10,1000
EV000600,RESIDENT_00356,2026-05-30,Kopitiam,Food & Beverage,15,1500
EV001859,RESIDENT_01074,2026-04-10,NTUC FairPrice,Groceries,2,200
EV001080,RESIDENT_00641,2026-04-29,Decathlon,Sports,2,200
EV001096,RESIDENT_00650,2026-04-09,Cold Storage,Groceries,5,500
EV000508,RESIDENT_00297,2026-05-23,Kopitiam,Food & Beverage,5,500
EV002121,RESIDENT_01227,2026-04-02,Decathlon,Sports,5,500
EV001488,RESIDENT_00866,2026-04-06,Watsons,Health & Beauty,10,1000
EV002494,RESIDENT_01450,2026-05-17,Decathlon,Sports,2,200
EV000854,RESIDENT_00502,2026-04-25,Sheng Siong,Groceries,10,1000
EV000810,RESIDENT_00470,2026-05-06,Watsons,Health & Beauty,2,200
EV000417,RESIDENT_00245,2026-05-21,Guardian,Health & Beauty,2,200
EV002036,RESIDENT_01175,2026-06-28,Kopitiam,Food & Beverage,15,1500
EV001798,RESIDENT_01034,2026-06-26,Guardian,Health & Beauty,10,1000
EV000553,RESIDENT_00322,2026-06-18,Guardian,Health & Beauty,2,200
EV000060,RESIDENT_00029,2026-04-30,Watsons,Health & Beauty,10,1000
EV000147,RESIDENT_00086,2026-05-31,Cold Storage,Groceries,10,1000
EV000504,RESIDENT_00294,2026-04-15,Sheng Siong,Groceries,5,500
EV001751,RESIDENT_01006,2026-04-29,NTUC FairPrice,Groceries,2,200
EV000080,RESIDENT_00045,2026-05-13,Sheng Siong,Groceries,10,1000
EV002475,RESIDENT_01440,2026-05-01,Decathlon,Sports,15,1500
EV001531,RESIDENT_00885,2026-04-13,Guardian,Health & Beauty,10,1000
EV002309,RESIDENT_01329,2026-05-10,Cold Storage,Groceries,15,1500
EV002183,RESIDENT_01261,2026-04-20,Guardian,Health & Beauty,10,1000
EV001737,RESIDENT_00990,2026-04-06,Cold Storage,Groceries,10,1000
EV000608,RESIDENT_00360,2026-04-09,Decathlon,Sports,2,200
EV001199,RESIDENT_00707,2026-04-06,Decathlon,Sports,10,1000
EV001261,RESIDENT_00747,2026-04-03,Kopitiam,Food & Beverage,10,1000
EV000277,RESIDENT_00159,2026-06-17,Watsons,Health & Beauty,2,200
EV001954,RESIDENT_01133,2026-05-27,Guardian,Health & Beauty,5,500
EV000507,RESIDENT_00297,2026-06-22,Sheng Siong,Groceries,15,1500
EV002266,RESIDENT_01304,2026-05-30,Sheng Siong,Groceries,10,1000
EV001494,RESIDENT_00869,2026-05-28,NTUC FairPrice,Groceries,5,500
EV002003,RESIDENT_01157,2026-04-19,Cold Storage,Groceries,10,1000
EV002290,RESIDENT_01318,2026-05-06,Cold Storage,Groceries,10,1000
EV000689,RESIDENT_00408,2026-06-21,NTUC FairPrice,Groceries,15,1500
EV000887,RESIDENT_00526,2026-04-11,Sheng Siong,Groceries,5,500
EV001934,RESIDENT_01122,2026-05-14,Cold Storage,Groceries,5,500
EV001229,RESIDENT_00723,2026-04-22,Decathlon,Sports,10,1000
EV000857,RESIDENT_00504,2026-05-30,Cold Storage,Groceries,5,500
EV000136,RESIDENT_00079,2026-05-29,Cold Storage,Groceries,10,1000
EV001906,RESIDENT_01107,2026-04-16,Sheng Siong,Groceries,5,500
EV000224,RESIDENT_00131,2026-04-15,Watsons,Health & Beauty,10,1000
EV000135,RESIDENT_00078,2026-05-24,Kopitiam,Food & Beverage,10,1000
EV001315,RESIDENT_00776,2026-05-29,Cold Storage,Groceries,2,200
EV001861,RESIDENT_01074,2026-06-10,Guardian,Health & Beauty,15,1500
EV000115,RESIDENT_00069,2026-06-20,Cold Storage,Groceries,5,500
EV002125,RESIDENT_01230,2026-05-05,NTUC FairPrice,Groceries,2,200
EV000275,RESIDENT_00158,2026-04-16,Guardian,Health & Beauty,10,1000
EV000973,RESIDENT_00577,2026-06-14,Sheng Siong,Groceries,10,1000
EV002252,RESIDENT_01293,2026-05-20,Decathlon,Sports,5,500
EV000741,RESIDENT_00437,2026-05-13,Cold Storage,Groceries,10,1000
EV001805,RESIDENT_01039,2026-06-07,Cold Storage,Groceries,10,1000
EV001215,RESIDENT_00713,2026-06-25,Watsons,Health & Beauty,10,1000
EV002051,RESIDENT_01187,2026-05-17,Kopitiam,Food & Beverage,15,1500
EV001424,RESIDENT_00830,2026-06-12,Decathlon,Sports,2,200
EV000956,RESIDENT_00567,2026-04-29,Watsons,Health & Beauty,15,1500
EV001014,RESIDENT_00598,2026-06-23,Decathlon,Sports,10,1000
EV002118,RESIDENT_01223,2026-04-12,Decathlon,Sports,10,1000
EV000269,RESIDENT_00154,2026-05-08,NTUC FairPrice,Groceries,5,500
EV001130,RESIDENT_00670,2026-05-09,Watsons,Health & Beauty,5,500
EV002401,RESIDENT_01388,2026-05-12,Guardian,Health & Beauty,2,200
EV001197,RESIDENT_00707,2026-04-15,Watsons,Health & Beauty,15,1500
EV001317,RESIDENT_00777,2026-05-19,NTUC FairPrice,Groceries,5,500
EV001693,RESIDENT_00967,2026-05-21,Decathlon,Sports,2,200
EV001412,RESIDENT_00822,2026-04-09,Sheng Siong,Groceries,5,500
EV001487,RESIDENT_00866,2026-05-14,Decathlon,Sports,5,500
EV000274,RESIDENT_00157,2026-04-10,NTUC FairPrice,Groceries,5,500
EV001289,RESIDENT_00757,2026-04-22,Decathlon,Sports,5,500
EV001836,RESIDENT_01053,2026-04-14,Kopitiam,Food & Beverage,10,1000
EV001243,RESIDENT_00735,2026-06-18,Guardian,Health & Beauty,5,500
EV002566,RESIDENT_01500,2026-04-10,Guardian,Health & Beauty,10,1000
EV002473,RESIDENT_01437,2026-05-13,Sheng Siong,Groceries,10,1000
EV000330,RESIDENT_00195,2026-04-10,Guardian,Health & Beauty,2,200
EV001549,RESIDENT_00894,2026-04-21,Cold Storage,Groceries,15,1500
EV002213,RESIDENT_01274,2026-05-16,Kopitiam,Food & Beverage,15,1500
EV000383,RESIDENT_00231,2026-06-04,Decathlon,Sports,5,500
EV000849,RESIDENT_00500,2026-05-11,Cold Storage,Groceries,10,1000
EV001329,RESIDENT_00781,2026-04-18,Kopitiam,Food & Beverage,5,500
EV001176,RESIDENT_00694,2026-04-28,NTUC FairPrice,Groceries,10,1000
EV001932,RESIDENT_01121,2026-05-10,Kopitiam,Food & Beverage,10,1000
EV000813,RESIDENT_00472,2026-06-10,Cold Storage,Groceries,10,1000
EV000481,RESIDENT_00283,2026-06-23,Guardian,Health & Beauty,5,500
EV001051,RESIDENT_00622,2026-06-06,Kopitiam,Food & Beverage,5,500
EV000555,RESIDENT_00326,2026-04-14,Sheng Siong,Groceries,5,500
EV002346,RESIDENT_01355,2026-05-22,Decathlon,Sports,5,500
EV000221,RESIDENT_00130,2026-06-07,Watsons,Health & Beauty,2,200
EV002314,RESIDENT_01331,2026-05-11,Decathlon,Sports,5,500
EV002150,RESIDENT_01248,2026-04-25,Guardian,Health & Beauty,10,1000
EV000763,RESIDENT_00446,2026-06-17,Kopitiam,Food & Beverage,15,1500
EV002224,RESIDENT_01283,2026-05-16,Watsons,Health & Beauty,2,200
EV002002,RESIDENT_01156,2026-05-23,Decathlon,Sports,5,500
EV001201,RESIDENT_00708,2026-04-10,Decathlon,Sports,15,1500
EV002180,RESIDENT_01260,2026-06-23,Guardian,Health & Beauty,10,1000
EV001760,RESIDENT_01013,2026-06-15,Kopitiam,Food & Beverage,10,1000
EV002221,RESIDENT_01282,2026-06-17,Guardian,Health & Beauty,10,1000
EV000654,RESIDENT_00386,2026-06-26,Watsons,Health & Beauty,10,1000
EV002233,RESIDENT_01287,2026-06-10,Sheng Siong,Groceries,5,500
EV001522,RESIDENT_00880,2026-05-30,Decathlon,Sports,10,1000
EV001767,RESIDENT_01015,2026-06-13,Decathlon,Sports,5,500
EV002165,RESIDENT_01255,2026-05-02,Cold Storage,Groceries,5,500
EV001089,RESIDENT_00646,2026-04-03,NTUC FairPrice,Groceries,5,500
EV001834,RESIDENT_01052,2026-04-13,Cold Storage,Groceries,10,1000
EV000380,RESIDENT_00228,2026-05-23,Cold Storage,Groceries,10,1000
EV002497,RESIDENT_01455,2026-04-09,Watsons,Health & Beauty,10,1000
EV000796,RESIDENT_00465,2026-04-17,Sheng Siong,Groceries,10,1000
EV001527,RESIDENT_00882,2026-06-05,Watsons,Health & Beauty,5,500
EV002318,RESIDENT_01332,2026-04-21,Sheng Siong,Groceries,5,500
EV000967,RESIDENT_00574,2026-04-27,Decathlon,Sports,2,200
EV000443,RESIDENT_00262,2026-06-14,Sheng Siong,Groceries,15,1500
EV001053,RESIDENT_00624,2026-04-21,Watsons,Health & Beauty,2,200
EV000218,RESIDENT_00128,2026-04-03,Cold Storage,Groceries,10,1000
EV000587,RESIDENT_00345,2026-04-17,Decathlon,Sports,10,1000
EV002543,RESIDENT_01485,2026-06-01,Decathlon,Sports,2,200
EV002524,RESIDENT_01473,2026-06-14,Kopitiam,Food & Beverage,5,500
EV002317,RESIDENT_01332,2026-05-26,Watsons,Health & Beauty,5,500
EV001105,RESIDENT_00657,2026-04-16,Cold Storage,Groceries,5,500
EV000799,RESIDENT_00466,2026-06-11,Watsons,Health & Beauty,5,500
EV000736,RESIDENT_00434,2026-06-16,Kopitiam,Food & Beverage,10,1000
EV000917,RESIDENT_00542,2026-05-10,Kopitiam,Food & Beverage,2,200
EV001158,RESIDENT_00685,2026-06-27,Kopitiam,Food & Beverage,15,1500
EV001007,RESIDENT_00591,2026-04-18,NTUC FairPrice,Groceries,10,1000
EV002267,RESIDENT_01305,2026-06-04,Cold Storage,Groceries,10,1000
EV002179,RESIDENT_01259,2026-05-24,Watsons,Health & Beauty,10,1000
EV002104,RESIDENT_01216,2026-05-09,NTUC FairPrice,Groceries,10,1000
